PRISM Time Series Data
Location:  Lat: 39.5322   Lon: -119.7975   Elev: 4505ft
Climate variable: tmean
Spatial resolution: 4km
Period: 1895-11 - 2016-10
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2016-Nov-21
details: http://rma.nacse.org/documents/PRISM_datasets.pdf
Date,tmean (degrees F)
2009-04, 49.3
2009-05, 62.9
2009-06, 64.8
2009-07, 76.0
2009-08, 72.7
2009-09, 69.5
2009-10, 50.7
2009-11, 43.7
2009-12, 27.5
2010-01, 36.0
2010-02, 39.7
2010-03, 43.8
2010-04, 46.5
2010-05, 50.9
2010-06, 66.1
2010-07, 75.6
2010-08, 71.1
2010-09, 65.5
2010-10, 55.0
2010-11, 40.3
2010-12, 38.6
2011-01, 35.8
2011-02, 34.5
2011-03, 42.3
2011-04, 48.1
2011-05, 52.9
2011-06, 63.5
2011-07, 73.0
2011-08, 73.7
2011-09, 69.5
2011-10, 55.4
2011-11, 41.5
2011-12, 33.3
2012-01, 38.3
2012-02, 38.0
2012-03, 44.1
2012-04, 51.8
2012-05, 60.0
2012-06, 67.1
2012-07, 75.7
2012-08, 77.0
2012-09, 69.6
2012-10, 57.3
2012-11, 45.3
2012-12, 35.9
2013-01, 28.2
2013-02, 37.6
2013-03, 48.2
2013-04, 52.5
2013-05, 59.2
2013-06, 69.8
2013-07, 78.3
2013-08, 72.9
2013-09, 65.6
2013-10, 50.9
2013-11, 44.0
2013-12, 28.8
2014-01, 39.7
2014-02, 43.1
2014-03, 47.1
2014-04, 52.3
2014-05, 60.1
2014-06, 69.3
2014-07, 78.9
2014-08, 72.4
2014-09, 67.7
2014-10, 57.5
2014-11, 45.1
2014-12, 39.8
2015-01, 39.6
2015-02, 46.1
2015-03, 50.5
2015-04, 50.6
2015-05, 58.6
2015-06, 72.0
2015-07, 73.7
2015-08, 74.2
2015-09, 68.2
2015-10, 58.9
2015-11, 38.0
2015-12, 35.4
2016-01, 35.9
2016-02, 42.5
2016-03, 47.0
2016-04, 53.3
2016-05, 57.7
2016-06, 70.4
2016-07, 74.8
2016-08, 74.0
2016-09, 65.3
2016-10, 54.5
